latitude longitude month day year
14.63 121.03 3 29 2020
14.575 121.0833 3 29 2020
61.2181 -149.9003 3 29 2020
32.862984 -85.797419 3 29 2020
41.8311336 -71.987631 3 29 2020
38.1722929 -104.51183 3 29 2020
30.7374429 -87.725046 3 29 2020
33.7167531 -86.315932 3 29 2020
37.3385723 -108.59484 3 29 2020
37.2851282 -107.84172 3 29 2020
32.9366214 -86.24838 3 29 2020
32.5976432 -86.148852 3 29 2020
34.3673899 -86.306375 3 29 2020
39.1195954 -105.71636 3 29 2020
39.9541853 -105.05256 3 29 2020
34.1370568 -87.886421 3 29 2020
14.65 121.1 3 29 2020
35.71796 -113.75549 3 29 2020
-36.616667 -64.283333 3 29 2020
32.8479849 -86.719149 3 29 2020
-25.5513125 -57.4961265 3 29 2020
32.2216606 -86.207976 3 29 2020
33.8038453 -87.297219 3 29 2020
14.38 121.05 3 29 2020
-27.366667 -70.332222 3 29 2020
37.5807693 -106.383 3 29 2020
38.6661894 -107.02952 3 29 2020
32.7728583 -113.90404 3 29 2020
6.666667 -1.616667 3 29 2020
32.2483787 -87.78931 3 29 2020
33.675232 -85.51878 3 29 2020
51.233333 51.366667 3 29 2020
32.6015727 -85.355598 3 29 2020
33.2818078 -88.087679 3 29 2020
37.6689194 -106.92262 3 29 2020
43.0140874 -75.646457 3 28 2020
26.6471214 -80.466897 3 28 2020
26.1521877 -80.487715 3 28 2020
25.6135986 -80.565963 3 28 2020
27.3766096 -80.482867 3 28 2020
42.0921259 -93.502315 3 28 2020
27.9289518 -82.72179 3 28 2020
-5.74 -36.55 3 28 2020
35.414988 -109.48787 3 28 2020
39.0276263 -105.54784 3 28 2020
34.902331 -87.653432 3 28 2020
28.514498 -81.323717 3 28 2020
27.9298393 -82.308992 3 28 2020
34.3369148 -111.66606 3 28 2020
31.1274043 -87.161336 3 28 2020
34.7803217 -85.999469 3 28 2020
34.0450763 -86.034835 3 28 2020
33.9818148 -86.567888 3 28 2020
30.3329529 -81.67094 3 28 2020
-18.514214 -49.949522 3 28 2020
34.6029616 -112.55365 3 28 2020
26.5795508 -81.827345 3 28 2020
-16.5 -68.15 3 28 2020
33.8033418 -110.81328 3 28 2020
27.0743282 -80.43787 3 28 2020
29.0573073 -81.184136 3 28 2020
40.6192135 -108.20643 3 28 2020
28.0632307 -81.14971 3 28 2020
14.5958 120.9772 3 28 2020
26.9063858 -81.898903 3 28 2020
16.9 -96.416667 3 28 2020
27.9492929 -81.697811 3 28 2020
34.1326375 -86.868184 3 28 2020
29.6752574 -82.357707 3 28 2020
28.2646798 -80.743055 3 28 2020
40.725229 -103.10973 3 28 2020
28.3092598 -82.392136 3 28 2020
31.8028562 -85.941651 3 28 2020
29.9005827 -81.435703 3 28 2020
-19.583333 -65.75 3 28 2020
-1.2833 36.8167 3 28 2020
7.977254 -1.2106 3 28 2020
33.2945472 -85.459821 3 28 2020
32.8538981 -87.951599 3 28 2020
-17.8 -63.183333 3 28 2020
-25.368782 -54.9552866 3 28 2020
26.1159891 -81.342836 3 28 2020
38.4013946 -108.26817 3 28 2020
49.95 82.616667 3 28 2020
34.4603382 -85.803649 3 28 2020
28.7172645 -81.236382 3 28 2020
28.76932 -81.709346 3 28 2020
29.2113523 -82.054851 3 28 2020
37.3194884 -102.56028 3 28 2020
34.8105815 -86.981384 3 28 2020
31.5716237 -87.365261 3 28 2020
39.6336923 -106.11602 3 28 2020
34.5226525 -87.310901 3 28 2020
13.453056 -16.5775 3 28 2020
60.379254 149.685313 3 28 2020
33.26939 -85.860512 3 28 2020
14.65 120.97 3 28 2020
32.1012166 -85.716204 3 28 2020
31.2496098 -86.450878 3 28 2020
7.33333 8.75 3 28 2020
31.8797126 -109.74945 3 28 2020
37.9031418 -103.71599 3 28 2020
-11.033333 -68.733333 3 28 2020
54.37002 -2.95214 3 27 2020
15.03 120.68 3 27 2020
35.933333 0.083333 3 27 2020
-22.885927 -43.115259 3 27 2020
